"id_sscc","Periodo","Edad_media_de_la_población","Porcentaje_de_población_menor_de_18_años","Porcentaje_de_población_de_65_y_más_años","Tamaño_medio_del_hogar","Porcentaje_de_hogares_unipersonales","Población","Porcentaje_de_población_española","Índice_de_Gini","Distribución_de_la_renta_P80/P20","Renta_neta_media_por_persona_","Renta_neta_media_por_hogar","Media_de_la_renta_por_unidad_de_consumo","Mediana_de_la_renta_por_unidad_de_consumo","Renta_bruta_media_por_persona","Renta_bruta_media_por_hogar","tipo_eleccion","anyo_proceso","mes_proceso","id_ca","n_censo_ine","n_escrutinio_censo","n_escrutinio_censo_extr","n_votantes_censo_extr","n_partici_primer_av","n_partici_segund_av","n_vot_blanco","n_vot_nulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","N_VOTOS","P_PSOE","P_PP","P_Cs","P_ERC","P_VOX","P_JUNTS","P_PODEMOS_IU","P_CUP"
"0801901050",2019,40.1,10.7,13.2,2.24,40,1529,51.9,36.1,3.3,12728,29685,18378,15750,15738,36705,2,2019,11,9,746,746,0,0,219,354,4,4,91,29,23,89,14,51,0,84,0,0,55,436,0.208715596330275,0.0665137614678899,0.0527522935779817,0.204128440366972,0.0321100917431193,0.11697247706422,0.192660550458716,0.126146788990826
"0801901051",2019,38.5,10.2,8.8,2.2,40.9,1789,47.6,34.4,3.1,10969,25512,15736,13650,13236,30786,2,2019,11,9,793,793,0,0,251,372,4,6,105,16,12,87,19,42,0,108,0,0,52,441,0.238095238095238,0.036281179138322,0.0272108843537415,0.197278911564626,0.0430839002267574,0.0952380952380952,0.244897959183673,0.117913832199546
"0801901052",2019,41,13,14.1,2.38,35.8,2360,49,41.1,3.8,17714,43532,26209,21350,22929,56350,2,2019,11,9,1218,1218,0,0,488,707,3,0,186,53,27,157,30,103,0,183,0,0,76,815,0.228220858895706,0.0650306748466258,0.0331288343558282,0.192638036809816,0.0368098159509202,0.12638036809816,0.224539877300614,0.0932515337423313
"0801901053",2019,44.1,9.2,19.6,1.96,46.1,1797,61.8,36.3,3.2,12090,24279,16596,13650,14631,29381,2,2019,11,9,1034,1034,0,0,320,518,3,4,149,55,42,104,32,51,0,134,0,0,51,618,0.241100323624595,0.0889967637540453,0.0679611650485437,0.168284789644013,0.0517799352750809,0.0825242718446602,0.216828478964401,0.0825242718446602
"0801901054",2019,41.9,8.7,15.5,1.99,45.6,1224,54.2,36.6,3.3,13456,27263,18265,15750,16249,32921,2,2019,11,9,638,638,0,0,209,316,4,1,95,19,23,59,11,32,0,118,0,0,34,391,0.242966751918159,0.0485933503836317,0.0588235294117647,0.150895140664962,0.0281329923273657,0.0818414322250639,0.301790281329923,0.0869565217391304
"0801901055",2019,45.6,14.1,24.7,2.31,33.5,1330,71.3,37.8,3.2,16024,37555,23597,19950,20006,46887,2,2019,11,9,847,847,0,0,348,490,2,1,126,70,36,104,31,73,0,108,0,0,46,594,0.212121212121212,0.117845117845118,0.0606060606060606,0.175084175084175,0.0521885521885522,0.122895622895623,0.181818181818182,0.0774410774410774
"0801902001",2019,43.1,16,18.6,2.35,36.4,1250,72.3,34,3.1,17566,42137,26209,22050,22368,53658,2,2019,11,9,793,793,0,0,343,509,0,0,125,51,33,123,20,107,0,77,0,0,58,594,0.21043771043771,0.0858585858585859,0.0555555555555556,0.207070707070707,0.0336700336700337,0.18013468013468,0.12962962962963,0.0976430976430976
"0801902002",2019,45.3,14.4,25.1,2.28,35.7,1758,47.9,33.6,3.4,17740,41338,25635,23450,22127,51562,2,2019,11,9,1389,1389,0,0,536,777,3,2,175,82,50,199,30,137,0,142,0,0,83,898,0.194877505567929,0.0913140311804009,0.0556792873051225,0.221603563474388,0.0334075723830735,0.152561247216036,0.158129175946548,0.0924276169265033
"0801902003",2019,45.1,11.9,22.2,2.4,31.2,1025,79.1,30.2,2.8,18337,44343,26714,25550,23082,55820,2,2019,11,9,873,873,0,0,295,493,4,0,116,34,35,156,23,105,0,88,0,0,51,608,0.190789473684211,0.0559210526315789,0.0575657894736842,0.256578947368421,0.0378289473684211,0.172697368421053,0.144736842105263,0.0838815789473684
"0801902004",2019,42.6,12.8,19.3,2.6,27.5,1520,67.8,33,2.8,14978,39672,22231,19950,18357,48623,2,2019,11,9,896,896,0,0,415,580,1,7,114,63,39,142,25,84,0,112,0,0,70,649,0.175654853620955,0.0970724191063174,0.0600924499229584,0.218798151001541,0.0385208012326656,0.129429892141757,0.172573189522342,0.107858243451464
